N,P,K,temperature,humidity,ph,wind_speed,rainfall,weather_condition,weather_suitability,label
71,46,40,20.2801937,82.1235421,7.236705436,3.7,191.9535738,Clear,Medium,rice
99,55,35,21.7238313,80.2389895,6.501697816,7.9,277.9626192,Rainy,High,rice
72,40,38,20.41447029,82.20802629,7.592490617,7.6,245.1511304,Rainy,High,rice
83,58,45,25.75528612,83.51827127,5.875345751,7.5,245.6626799,Rainy,High,rice
93,58,38,20.61521424,83.77345559,6.932400225,5.2,279.5451717,Rainy,High,rice
70,36,42,21.84106875,80.72886384,6.946209881,5.1,202.3838319,Rainy,High,rice
76,47,42,20.08369642,83.29114712,5.739175027,6.7,263.6372176,Rainy,High,rice
99,41,36,24.45802087,82.74835604,6.738652179,4.7,182.5616319,Clear,Medium,rice
99,54,37,21.14347496,80.33502926,5.594819626,3.5,198.6730942,Clear,Medium,rice
86,59,35,25.78720567,82.11124033,6.946636369,6.1,243.5120414,Rainy,High,rice
69,46,41,23.64124821,80.28597873,5.012139669,4,263.1103304,Rainy,High,rice
91,56,37,23.43191632,80.56887849,6.363472208,7.6,269.5039162,Rainy,High,rice
61,52,41,24.97669518,83.891805,6.880431223,6.8,204.8001847,Rainy,High,rice
67,45,38,22.72791041,82.1706881,7.300410836,7.3,260.8875056,Rainy,High,rice
79,42,37,24.87300744,82.84022551,6.587918708,5.7,295.6094492,Rainy,High,rice
78,43,42,21.32376327,83.00320459,7.283736617,4.4,192.3197536,Clear,Medium,rice
75,54,36,26.29465461,84.56919326,7.023936392,7.6,257.4914906,Rainy,High,rice
97,36,45,22.2286982,81.85872947,6.939083505,7.8,278.0791793,Rainy,High,rice
67,47,44,26.73072391,81.78596776,7.868474653,4.1,280.4044392,Rainy,High,rice
73,35,38,24.88921174,81.97927117,5.005306977,3.1,185.9461429,Clear,Medium,rice
77,36,37,26.88444878,81.46033732,6.136131869,5.3,194.5766559,Clear,Medium,rice
81,41,38,22.67846116,83.72874389,7.524080076,5.3,200.9133156,Rainy,High,rice
68,57,43,26.08867875,80.37979919,5.706943251,3.9,182.9043504,Clear,Medium,rice
72,45,35,25.42977518,82.94682591,5.758506323,5.4,195.3574542,Clear,Medium,rice
61,53,43,26.40323239,81.05635517,6.349606327,5.2,223.3671883,Rainy,High,rice
67,43,39,26.04371967,84.96907151,5.999969026,5.1,186.7536773,Clear,Medium,rice
67,58,39,25.2827223,80.54372813,5.453592032,7.4,220.1156708,Rainy,High,rice
66,60,38,22.08576562,83.47038318,6.372576327,5.2,231.7364957,Rainy,High,rice
82,43,38,23.28617173,81.43321641,5.105588355,4.7,242.3170629,Rainy,High,rice
84,50,44,25.48591986,81.40633547,5.935344406,3.6,182.6549356,Clear,Medium,rice
81,53,42,23.67575393,81.03569343,5.17782304,5.6,233.7034975,Rainy,High,rice
91,50,40,20.82477109,84.1341879,6.462391607,6.4,230.2242223,Rainy,High,rice
93,53,38,26.92995077,81.91411159,7.069172227,6.8,290.6793783,Rainy,High,rice
90,44,38,23.83509503,83.88387074,7.473134377,5.4,241.2013513,Rainy,High,rice
81,45,35,26.52872817,80.12267476,6.158376967,4.9,218.9163567,Rainy,High,rice
78,40,38,26.46428311,83.85642678,7.549873681,7.1,248.2256491,Rainy,High,rice
60,51,36,22.69657794,82.81088865,6.028321558,4.2,256.9964761,Rainy,High,rice
88,46,42,22.68319059,83.46358271,6.604993475,4.3,194.2651719,Clear,Medium,rice
93,47,37,21.53346343,82.14004101,6.500343222,7.6,295.9248796,Rainy,High,rice
60,55,45,21.40865769,83.3293191,5.935745417,4.2,287.5766935,Rainy,High,rice
78,35,44,26.54348085,84.67353597,7.072655622,5.5,183.6222657,Clear,Medium,rice
65,37,40,23.35905428,83.59512273,5.333322606,5.7,188.413665,Clear,Medium,rice
71,54,16,22.61359953,63.69070564,5.749914421,5.4,87.75953857,Clear,High,maize
61,44,17,26.10018422,71.57476937,6.931756558,3.6,102.2662445,Clear,High,maize
80,43,16,23.55882094,71.59351368,6.657964753,3.4,66.71995467,Clear,High,maize
73,58,21,19.97215954,57.68272924,6.596060648,8.9,60.65171481,Cool,Medium,maize
61,38,20,18.47891261,62.69503871,5.970458434,6.9,65.43835393,Cool,Medium,maize
68,41,16,21.77689322,57.80840636,6.158830619,3.2,102.0861694,Clear,High,maize
93,41,17,25.6217169,66.50415474,6.047906679,5.7,105.4654703,Clear,High,maize
89,60,19,25.19192419,66.6902901,5.913664501,5.2,78.06639649,Clear,High,maize
76,44,17,20.41683147,62.5542482,5.855442401,4.8,65.27798457,Clear,High,maize
67,60,25,24.92162194,66.78627406,5.750254943,4.9,109.2162279,Clear,High,maize
70,44,19,23.31689124,73.4541537,5.852607099,4.1,94.29712821,Clear,High,maize
90,49,21,24.84016732,68.3584573,6.472523287,3.2,74.05474936,Clear,High,maize
62,52,16,22.27526694,58.84015925,6.967057762,5.5,63.87020584,Clear,High,maize
92,44,16,18.87751445,65.76816093,6.082973754,6.5,94.76189431,Cool,Medium,maize
66,54,21,25.19008683,60.2001687,5.919045532,4.9,72.12375573,Clear,High,maize
63,58,22,18.25405352,55.28220433,6.204747653,6.8,63.72358154,Cool,Medium,maize
70,47,17,24.6129118,70.4162444,6.600827017,4.2,104.1626147,Clear,High,maize
61,41,17,25.1420613,65.26185135,6.021902237,5.2,76.68456006,Clear,High,maize
66,53,19,23.09348056,60.1159381,6.033550195,5.1,65.49730729,Clear,High,maize
74,55,19,18.05033737,62.89366992,6.28886807,8.4,84.23613484,Cool,Medium,maize
77,57,21,24.9321581,73.80435276,6.550563823,5.1,79.74078719,Clear,High,maize
99,50,15,18.14710054,71.09445342,5.573286437,6.4,88.07753741,Cool,Medium,maize
74,56,22,18.28362235,66.65952796,6.829199275,5,80.97573281,Cool,Medium,maize
83,45,21,18.83344471,58.75082029,5.716222912,7.5,79.7532896,Cool,Medium,maize
100,48,16,25.71895816,67.22190688,5.54990242,3,74.51490791,Clear,High,maize
79,51,16,25.33797709,68.49835977,6.586244581,5.3,96.46380213,Clear,High,maize
94,39,18,23.89114571,57.48775781,5.893093135,3.2,102.8301942,Clear,High,maize
75,49,15,21.53574127,71.50905983,5.918263801,3.8,102.4852929,Clear,High,maize
78,48,22,23.08974909,63.10459626,5.588650585,5,70.43473609,Clear,High,maize
87,54,20,25.61707368,63.4711755,6.576418207,3.1,108.8303762,Clear,High,maize
87,35,25,21.44526922,63.1621551,6.178056304,5.9,65.88951188,Clear,High,maize
63,43,19,18.51816776,55.53128131,6.641906353,6.5,90.988051,Cool,Medium,maize
84,57,25,22.53510514,67.99257471,6.489040367,3.6,64.40866039,Clear,High,maize
64,35,23,23.02038334,61.89472002,5.680361038,5.9,63.03843397,Clear,High,maize
60,46,22,24.89364635,65.61418761,6.625404348,5.2,87.9298085,Clear,High,maize
98,44,21,25.77175115,74.089114,6.524478032,5.5,107.4931917,Clear,High,maize
75,56,18,19.39851734,62.35750641,5.696205468,7.2,60.95197486,Cool,Medium,maize
86,55,21,21.54156232,59.64024162,6.803931519,4.7,109.7515385,Clear,High,maize
98,35,18,23.79746068,74.82913698,6.252797548,4.6,91.76337172,Clear,High,maize
76,57,18,18.9802729,74.52600826,6.092725883,9,94.26249353,Cool,Medium,maize
99,56,17,24.10859207,73.13112261,6.234330356,5.6,71.07562236,Clear,High,maize
60,44,23,24.7947077,70.04556743,5.722579819,3.9,76.72860067,Clear,High,maize
74,48,17,21.63162756,60.27766379,6.430616465,3,69.21803098,Clear,High,maize
89,60,17,25.37548751,57.21025565,5.983952675,5,101.7004306,Clear,High,maize
69,51,23,22.21738222,72.85462807,6.80163854,3.7,106.6213157,Clear,High,maize
96,46,22,20.58314011,69.00128641,6.499936446,4.7,66.29390357,Clear,High,maize
61,60,15,24.87502824,68.74248334,6.265564338,3.6,91.26056654,Clear,High,maize
74,58,18,20.03728219,56.35606753,6.727303282,5.5,109.024141,Clear,High,maize
74,43,23,25.95263264,61.89082199,6.325235159,4.4,99.57981207,Clear,High,maize
63,43,17,19.28889933,65.47050802,6.807487794,5.9,71.3195307,Cool,Medium,maize
99,36,20,20.57981887,65.34583901,6.671085817,3.2,78.34604471,Clear,High,maize
77,36,23,24.71417533,56.73426469,6.648725327,5.3,88.45361858,Clear,High,maize
87,60,23,20.27317074,63.91281869,6.439071996,3.6,62.50351892,Clear,High,maize
60,38,17,18.41932981,64.23580251,6.474476516,8,76.41312437,Cool,Medium,maize
94,54,17,23.39128187,61.74427165,5.871647806,3.2,107.3198135,Clear,High,maize
95,38,22,19.84939404,61.24500053,5.730617109,8.6,100.7689246,Cool,Medium,maize
84,44,21,21.869274,61.91044947,5.850439831,4.7,107.2681929,Clear,High,maize
77,58,19,22.8056033,56.50768935,5.791649933,4,101.5952794,Clear,High,maize
66,44,20,19.0781471,69.02298571,6.740000688,7.5,80.72515943,Cool,Medium,maize
63,35,16,22.02720976,65.35549924,6.272417541,4.9,83.73280082,Clear,High,maize
79,45,20,23.80546189,59.24537979,5.715208817,6,89.9622014,Clear,High,maize
72,60,25,18.52510753,69.0276233,5.773454729,7.1,88.10234397,Cool,Medium,maize
67,51,24,23.50297882,61.32026065,5.584171461,3.7,64.77791424,Clear,High,maize
86,36,24,26.54986394,72.89187265,5.787268394,4,73.33636055,Clear,High,maize
76,48,18,19.29563411,69.63481219,5.77597783,6.4,83.21030571,Cool,Medium,maize
75,53,18,20.68899915,59.4375337,6.864793607,3.2,103.651438,Clear,High,maize
81,45,23,19.32666088,68.034493,6.192360003,5.9,84.22969177,Cool,Medium,maize
73,45,21,24.60532218,73.58868502,6.636803223,5.7,96.59195302,Clear,High,maize
71,35,24,22.27373646,59.52193158,5.826426917,4.5,67.96704792,Clear,High,maize
96,54,22,25.70196694,61.33450447,6.960358276,4.5,83.20711308,Clear,High,maize
99,39,18,19.20129357,68.30578978,6.11275104,8.5,87.85092352,Cool,Medium,maize
62,48,20,21.70181447,60.47470519,6.708446922,5.8,95.71388473,Clear,High,maize
86,37,16,20.51716779,59.21235483,5.561510732,4.9,67.61013737,Clear,High,maize
94,50,19,23.30355338,73.62548442,5.873242491,3.8,97.59081274,Clear,High,maize
76,39,24,24.2547451,55.64709899,6.995843776,4.9,64.23845455,Clear,High,maize
77,52,17,24.86374934,65.7420046,5.714799723,3.5,75.82270467,Clear,High,maize
74,39,23,22.6265115,65.77472881,6.78073637,5.4,88.17251033,Clear,High,maize
81,49,20,18.04185513,60.61494304,5.513697923,8.7,104.2321615,Cool,Medium,maize
63,42,21,23.26237612,72.33125523,5.798423908,4.9,67.10225139,Clear,High,maize
99,38,21,22.88330922,71.59722446,6.352471866,3.5,67.72777298,Clear,High,maize
90,52,25,25.97482359,69.36385721,6.822586546,3.6,103.2234212,Clear,High,maize
68,40,19,26.14384005,66.20569924,6.655426355,5.4,107.2361366,Clear,High,maize
60,57,24,18.66116213,61.55327249,6.121294041,8,75.03247667,Cool,Medium,maize
71,52,18,25.10787449,55.97732754,5.790770203,5.6,78.16077693,Clear,High,maize
61,59,17,23.33844615,59.24580604,6.47444292,4.4,105.0083144,Clear,High,maize
88,38,15,25.08239719,65.92195844,6.455116637,4.2,62.49190812,Clear,High,maize
65,60,22,25.36768364,72.52054555,6.606984086,4.4,107.9124111,Clear,High,maize
78,37,22,25.34217103,63.31801994,6.330554389,5.4,74.52082026,Clear,High,maize
78,58,15,25.00933355,67.816568,6.528631266,3,62.91359494,Clear,High,maize
92,60,23,18.66746724,71.516474,5.721667141,5.2,69.93293255,Cool,Medium,maize
79,59,17,20.37999665,63.73849998,6.644205485,3.2,108.5054416,Clear,High,maize
91,55,15,18.09300227,72.61024172,6.376651091,8.4,78.96159541,Cool,Medium,maize
76,51,18,26.16985907,71.96246617,6.247040422,4.2,79.84925393,Clear,High,maize
87,48,25,18.65396672,61.37879671,6.656730008,6.5,93.62039175,Cool,Medium,maize
71,60,22,26.07470121,59.37147589,6.2048017,4.4,85.75692395,Clear,High,maize
90,57,24,18.92851916,72.80086137,6.158860284,8.3,82.34162918,Cool,Medium,maize
67,35,22,23.30546753,63.24648023,6.385684214,3.5,108.7603001,Clear,High,maize
60,54,19,18.74826712,62.49878458,6.417820493,5,70.23401597,Cool,Medium,maize
83,58,23,19.74213321,59.66263104,6.381201909,7.4,65.50861389,Cool,Medium,maize
83,57,19,25.73044432,70.74739256,6.877869005,3.6,98.73771338,Clear,High,maize
40,72,77,17.02498456,16.98861173,7.485996067,7.5,88.55123143,Cool,Medium,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,6.2,79.92698081,Cool,Medium,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,8.8,68.54932919,Cool,Medium,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,6.9,88.51048983,Cool,Medium,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,6.3,79.26357665,Cool,Medium,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,4.4,92.68373702,Clear,Medium,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,3.3,74.6631118,Clear,Medium,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,7.1,82.61734721,Cool,Medium,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,5.5,81.84997529,Cool,Medium,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,6.8,81.98568791,Cool,Medium,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,3.4,93.55280105,Clear,Medium,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,8.1,74.58565097,Cool,Medium,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,6.2,78.96514709,Cool,Medium,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,7.8,80.7108745,Cool,Medium,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,7.3,70.18185181,Cool,Medium,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,8.4,71.58010169,Cool,Medium,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,5.4,73.50734019,Clear,Medium,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,4.5,82.52339655,Clear,Medium,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,7.1,66.96980581,Cool,Medium,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,5.9,90.46228334,Clear,Medium,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,8.2,71.31007253,Cool,Medium,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,3.3,85.74904898,Clear,Medium,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,5.9,89.31050665,Cool,Medium,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,6.2,85.52950164,Cool,Medium,chickpea
59,62,83,18.57665902,19.22008229,8.104396058,7.1,72.94940441,Cool,Medium,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,8.9,72.32667516,Cool,Medium,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,5.7,74.87445574,Cool,Medium,chickpea
59,60,84,19.03025305,18.66725565,7.690962338,6.9,94.70992037,Cool,Medium,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,8,83.74606679,Cool,Medium,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,7,78.92060234,Cool,Medium,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,4.6,83.75937135,Clear,Medium,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,8.2,76.57580954,Cool,Medium,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,5.9,91.76071648,Cool,Medium,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,5.7,76.32470713,Cool,Medium,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,5.6,89.73119396,Cool,Medium,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,6.6,93.35034262,Cool,Medium,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,6.8,81.20176515,Cool,Medium,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,8.4,81.70769297,Cool,Medium,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,7.3,83.74879344,Cool,Medium,chickpea
54,61,77,18.81198127,15.21618225,6.206582193,5.2,77.5429424,Cool,Medium,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,7.5,77.92798682,Cool,Medium,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,5.5,82.2545577,Clear,Medium,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,7.8,70.52056697,Cool,Medium,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,6.2,72.78624223,Cool,Medium,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,7.8,85.24819851,Cool,Medium,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,6.9,85.37378769,Cool,Medium,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,6.7,75.6317566,Cool,Medium,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,7.3,89.61857826,Cool,Medium,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,8.7,75.49101167,Cool,Medium,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,6.4,86.05078037,Cool,Medium,chickpea
43,79,79,19.40751744,18.98030507,7.806747656,6.1,80.25064637,Cool,Medium,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,3,78.26039559,Clear,Medium,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,7.6,75.57790384,Cool,Medium,chickpea
29,77,75,17.50361137,15.48083156,7.778591618,8.4,72.9446671,Cool,Medium,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,5.6,90.7760707,Cool,Medium,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,7.8,77.81891424,Cool,Medium,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,3.1,78.06910795,Clear,Medium,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,8.4,85.57925437,Cool,Medium,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,7.9,69.40619137,Cool,Medium,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,6.7,76.32565249,Cool,Medium,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,7.9,80.6405403,Cool,Medium,chickpea
51,72,75,18.88852533,14.99451145,7.104224797,8.6,80.1113384,Cool,Medium,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,5.4,91.94595352,Cool,Medium,chickpea
22,64,82,19.48974337,17.17260319,6.4740245,6.9,87.51312796,Cool,Medium,chickpea
52,73,79,17.25769499,18.74943955,7.840339389,7,94.00287214,Cool,Medium,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,7.8,88.4585692,Cool,Medium,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,3.8,84.78344008,Clear,Medium,chickpea
41,69,82,20.02381489,16.63294455,6.715587232,3.3,68.97806542,Clear,Medium,chickpea
52,56,85,20.1187446,14.44228303,6.81712422,5.3,88.68168643,Clear,Medium,chickpea
34,76,80,20.65691793,15.84572566,7.985417393,3.7,65.23811143,Clear,Medium,chickpea
42,74,83,19.2582557,14.2804191,7.545258424,6.5,65.78042032,Cool,Medium,chickpea
34,71,79,17.927806,15.85622899,7.728998197,8.3,74.63872762,Cool,Medium,chickpea
27,73,79,19.16288268,15.83500655,7.354973451,5.9,82.69766829,Cool,Medium,chickpea
30,70,79,20.26942271,19.96978871,7.313122235,5.3,69.64449182,Clear,Medium,chickpea
57,57,75,17.09104223,18.25142068,7.785039076,8.1,87.27444866,Cool,Medium,chickpea
27,79,82,17.06579293,17.54024066,6.307004923,8.8,70.87150577,Cool,Medium,chickpea
32,71,85,20.62767492,14.44008871,6.403982316,4.4,92.06630306,Clear,Medium,chickpea
